source,track,archival_status,is_in_core_corpus,replaced_by_doi,matched_archival_id,matched_archival_doi,openalex_id,title,doi,type,publication_date,publication_year,is_watchlist_candidate,watchlist_tag,resilience_paradigm,cloud_context,cited_by_count,best_pdf_url
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2142442427,A Stochastic Model to Investigate Data Center Performance and QoS in IaaS Cloud Computing Systems,10.1109/tpds.2013.67,article,2013-05-22,2013,False,,Simulation,GeneralCloud,235,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W3128486303,Reliability-Aware Cost-Efficient Scientific Workflows Scheduling Strategy on Multi-Cloud Systems,10.1109/tcc.2021.3057422,article,2021-02-05,2021,False,,Simulation,MultiCloud,105,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4206536706,Deep Learning Based Intrusion Detection in Cloud Services for Resilience Management,10.32604/cmc.2022.022351,article,2022-01-01,2022,False,,ML,GeneralCloud,19,https://www.techscience.com/cmc/v71n3/46475/pdf
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4297094732,Proactive Stateful Fault-Tolerant System for Kubernetes Containerized Services,10.1109/access.2022.3209257,article,2022-01-01,2022,False,,ML,K8s,28,https://ieeexplore.ieee.org/ielx7/6287639/6514899/09903004.pdf
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2132762970,D-Cloud: Design of a Software Testing Environment for Reliable Distributed Systems Using Cloud Computing Technology,10.1109/ccgrid.2010.72,article,2010-01-01,2010,False,,Chaos,GeneralCloud,108,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4391147964,Fault Tolerance Oriented SFC Optimization in SDN/NFV-Enabled Cloud Environment Based on Deep Reinforcement Learning,10.1109/tcc.2024.3357061,article,2024-01-01,2024,False,,ML,GeneralCloud,19,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W3165081806,The machine learning life cycle and the cloud: implications for drug discovery,10.1080/17460441.2021.1932812,article,2021-05-31,2021,False,,ML,K8s,61,https://www.tandfonline.com/doi/pdf/10.1080/17460441.2021.1932812?needAccess=true
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4392172968,Next-Generation Consumer Electronics Data Auditing Scheme Toward Cloud–Edge Distributed and Resilient Machine Learning,10.1109/tce.2024.3368206,article,2024-02-01,2024,False,,ML,Edge,28,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W3092118421,Cryptomining Detection in Container Clouds Using System Calls and Explainable Machine Learning,10.1109/tpds.2020.3029088,article,2020-10-06,2020,False,,ML,K8s,98,https://ieeexplore.ieee.org/ielx7/71/9218224/09215018.pdf
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4407069072,Chaos Engineering in the Cloud-Native Era: Evaluating Distributed AI Model Resilience on Kubernetes,10.51219/jaimld/anila-gogineni/477,article,2025-01-20,2025,False,,Chaos,K8s,5,https://doi.org/10.51219/jaimld/anila-gogineni/477
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W3193057123,A Reinforcement Learning Approach to Reduce Serverless Function Cold Start Frequency,10.1109/ccgrid51090.2021.00097,article,2021-05-01,2021,False,,ML,Edge,67,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4411096205,AI-POWERED RATE ENGINES: MODERNIZING FINANCIAL FORECASTING USING MICROSERVICES AND PREDICTIVE ANALYTICS,10.34218/ijcet_13_02_024,article,2022-08-06,2022,False,,ML,K8s,37,https://doi.org/10.34218/ijcet_13_02_024
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2551328538,Adaptive Framework for Reliable Cloud Computing Environment,10.1109/access.2016.2623633,article,2016-01-01,2016,False,,Simulation,GeneralCloud,48,https://ieeexplore.ieee.org/ielx7/6287639/7419931/07742909.pdf
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2567234103,Availability Modelling of Fault Tolerant Cloud Computing System,10.22266/ijies2017.0228.17,article,2016-12-28,2016,False,,Analytics,GeneralCloud,13,https://doi.org/10.22266/ijies2017.0228.17
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4405128108,End-to-End MLOps in Financial Services: Resilient Machine Learning with Kubernetes,10.21275/sr221013093711,article,2022-10-27,2022,False,,ML,K8s,7,https://www.ijsr.net/archive/v11i10/SR221013093711.pdf
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W3035474257,On the Implementation of IoT-Based Digital Twin for Networked Microgrids Resiliency Against Cyber Attacks,10.1109/tsg.2020.3000958,article,2020-06-09,2020,False,,Simulation,GeneralCloud,216,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W3048636312,PEFS: AI-Driven Prediction Based Energy-Aware Fault-Tolerant Scheduling Scheme for Cloud Data Center,10.1109/tsusc.2020.3015559,article,2020-08-11,2020,False,,ML,GeneralCloud,66,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2955227039,Energy-aware Fault-tolerant Scheduling Scheme based on Intelligent Prediction Model for Cloud Data Center,10.1109/igcc.2018.8752123,article,2018-10-01,2018,False,,ML,GeneralCloud,7,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2013936649,"Characterizing, modeling, and generating workload spikes for stateful services",10.1145/1807128.1807166,article,2010-06-10,2010,False,,Analytics,GeneralCloud,208,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4225709846,Intelligent multi-agent reinforcement learning model for resources allocation in cloud computing,10.1016/j.jksuci.2022.03.016,article,2022-04-02,2022,False,,ML,GeneralCloud,52,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2889247947,A Microservices Architecture for Reactive and Proactive Fault Tolerance in IoT Systems,10.1109/wowmom.2018.8449789,article,2018-06-01,2018,False,,ML,Unknown,49,https://eprints.lancs.ac.uk/id/eprint/127215/1/manuscript.pdf
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W3008876591,Integration of digital twin and deep learning in cyber‐physical systems: towards smart manufacturing,10.1049/iet-cim.2020.0009,article,2020-02-27,2020,False,,ML,GeneralCloud,236,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1049/iet-cim.2020.0009
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2297351789,A Methodology for Continuous Evaluation of Cloud Resiliency,10.3844/ajeassp.2016.264.273,article,2016-02-01,2016,False,,Chaos,GeneralCloud,32,https://thescipub.com/pdf/ajeassp.2016.264.273.pdf
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2738335943,An Approach to Failure Prediction in a Cloud Based Environment,10.1109/ficloud.2017.56,article,2017-08-01,2017,False,,ML,GeneralCloud,28,https://bradscholars.brad.ac.uk/bitstreams/279b2493-703a-4e34-9d0a-38a45590cf30/download
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W3203801385,A Hybrid Cloud and Edge Control Strategy for Demand Responses Using Deep Reinforcement Learning and Transfer Learning,10.1109/tcc.2021.3117580,article,2021-10-05,2021,False,,ML,HybridCloud,49,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4411654160,AI-Driven Infrastructure Automation: Leveraging AI and ML for Self-Healing and Auto-Scaling Cloud Environments,10.63282/3050-9262.ijaidsml-v5i1p104,article,2024-01-01,2024,False,,ML,GeneralCloud,18,https://ijaidsml.org/index.php/ijaidsml/article/download/81/72
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2744277773,Self-healing Multi-Cloud Application Modelling,10.1145/3098954.3104059,article,2017-08-10,2017,False,,Analytics,MultiCloud,12,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4413158712,Adaptive Fault Tolerance Mechanisms of Large Language Models in Cloud Computing Environments,10.1109/iccea65460.2025.11102424,article,2025-04-25,2025,False,,ML,GeneralCloud,6,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2918778100,An extensible fault tolerance testing framework for microservice-based cloud applications,10.1145/3290420.3290476,article,2018-11-02,2018,False,,Chaos,Unknown,14,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4396652170,Exploring the impact of chaos engineering with various user loads on cloud native applications: an exploratory empirical study,10.1007/s00607-024-01292-z,article,2024-05-05,2024,False,,Chaos,Serverless,13,https://link.springer.com/content/pdf/10.1007/s00607-024-01292-z.pdf
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4205987271,"Adaptation, Learning, and Optimization over Networks",10.1561/2200000051,article,2014-07-25,2014,False,,ML,GeneralCloud,648,https://www.nowpublishers.com/article/Download/MAL-051
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4321485372,ElasticDL: A Kubernetes-native Deep Learning Framework with Fault-tolerance and Elastic Scheduling,10.1145/3539597.3573037,article,2023-02-22,2023,False,,ML,K8s,8,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4323022522,Disjoint Paths Construction and Fault-Tolerant Routing in BCube of Data Center Networks,10.1109/tc.2023.3251849,article,2023-03-02,2023,False,,Simulation,GeneralCloud,38,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4415954146,Resilience and Recovery Model for Business-Critical Cloud Workloads,10.62225/2583049x.2023.3.1.5141,article,2023-02-23,2023,False,,Simulation,GeneralCloud,22,https://www.multiresearchjournal.com/admin/uploads/archives/archive-1762420773.pdf
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W3036106625,Fault‐tolerant with load balancing scheduling in a fog‐based IoT application,10.1049/iet-com.2020.0080,article,2020-06-15,2020,False,,Simulation,Edge,43,https://ietresearch.onlinelibrary.wiley.com/doi/pdfdirect/10.1049/iet-com.2020.0080
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W3006743689,QoS-Aware Task Placement With Fault-Tolerance in the Edge-Cloud,10.1109/access.2020.2977089,article,2020-01-01,2020,False,,Simulation,Edge,33,https://ieeexplore.ieee.org/ielx7/6287639/8948470/09017972.pdf
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4366589755,Method of Fault Self-Healing in Distribution Network and Deep Learning Under Cloud Edge Architecture,10.4018/ijitsa.321753,article,2023-04-20,2023,False,,ML,Edge,4,https://www.igi-global.com/ViewTitle.aspx?TitleId=321753&isxn=9781668489529
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2894380972,Energy-Efficient Fault-Tolerant Scheduling Algorithm for Real-Time Tasks in Cloud-Based 5G Networks,10.1109/access.2018.2871821,article,2018-01-01,2018,False,,Simulation,GeneralCloud,20,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2890358182,Detection of Malware Attacks on Virtual Machines for a Self-Heal Approach in Cloud Computing using VM Snapshots,10.24138/jcomss.v14i3.537,article,2018-09-01,2018,False,,ML,GeneralCloud,18,https://jcoms.fesb.unist.hr/pdfs/v14n3_537_joseph.pdf
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2755443794,DeepSpotCloud: Leveraging Cross-Region GPU Spot Instances for Deep Learning,10.1109/cloud.2017.21,article,2017-06-01,2017,False,,ML,GeneralCloud,51,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2111725465,Monte Carlo simulation of photon migration in a cloud computing environment with MapReduce,10.1117/1.3656964,article,2011-01-01,2011,False,,Simulation,GeneralCloud,40,https://www.spiedigitallibrary.org/journals/journal-of-biomedical-optics/volume-16/issue-12/125003/Monte-Carlo-simulation-of-photon-migration-in-a-cloud-computing/10.1117/1.3656964.pdf
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W3197588517,An Approach to Modeling and Analyzing Reliability for Microservice‐Oriented Cloud Applications,10.1155/2021/5750646,article,2021-01-01,2021,False,,Simulation,GeneralCloud,8,https://downloads.hindawi.com/journals/wcmc/2021/5750646.pdf
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2922111796,Dependability Analysis Tool Based on Multi-Dimensional Stochastic Noisy Model for Cloud Computing with Big Data,10.33889/ijmems.2017.2.4-021,article,2017-12-01,2017,False,,Analytics,GeneralCloud,7,https://doi.org/10.33889/ijmems.2017.2.4-021
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4404087487,An efficient deep reinforcement learning based task scheduler in cloud-fog environment,10.1007/s10586-024-04712-z,article,2024-11-05,2024,False,,ML,Edge,37,https://link.springer.com/content/pdf/10.1007/s10586-024-04712-z.pdf
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2910168872,Improving Application Migration to Serverless Computing Platforms: Latency Mitigation with Keep-Alive Workloads,10.1109/ucc-companion.2018.00056,article,2018-12-01,2018,False,,Analytics,Serverless,52,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2901639193,Evolution of Enterprise Architecture for Digital Transformation,10.1109/edocw.2018.00023,article,2018-10-01,2018,False,,Analytics,GeneralCloud,76,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2999507104,Stateful Stream Processing for Digital Twins: Microservice-Based Kafka Stream DSL,10.1109/sibircon48586.2019.8958367,article,2019-10-01,2019,False,,Simulation,Unknown,34,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4396908557,Cloud-Based Passenger Experience Management in Bus Fare Ticketing Systems Using Random Forest Algorithm,10.1109/icrito61523.2024.10522226,article,2024-03-14,2024,False,,ML,GeneralCloud,62,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4407433256,Self-Optimizing Distributed Cloud Computing with Dynamic Neural Resource Allocation and Fault-Tolerant Multi-Agent Systems,10.1109/icuis64676.2024.10866891,article,2024-12-12,2024,False,,ML,GeneralCloud,31,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2000233152,Autonomic fault tolerant scheduling approach for scientific workflows in Cloud computing,10.1177/1063293x14567783,article,2015-01-23,2015,False,,Simulation,GeneralCloud,43,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2744396322,Software Fault Injection Campaign Generation for Cloud Infrastructures,10.1109/qrs-c.2017.119,article,2017-07-01,2017,False,,Chaos,GeneralCloud,10,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W3126902795,A Fault Tolerant Data Management Scheme for Healthcare Internet of Things in Fog Computing,10.3837/tiis.2021.01.003,article,2021-01-31,2021,False,,Simulation,Edge,30,"http://itiis.org/digital-library/manuscript/file/24229/TIIS Vol 15, No 1-3.pdf"
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2950690357,An IoT-Based Fog Computing Model,10.3390/s19122783,article,2019-06-21,2019,False,,Simulation,Edge,65,https://www.mdpi.com/1424-8220/19/12/2783/pdf?version=1561090508
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4404688256,A Hybrid Task Scheduling Technique in Fog Computing Using Fuzzy Logic and Deep Reinforcement Learning,10.1109/access.2024.3505546,article,2024-01-01,2024,False,,ML,Edge,30,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4409260545,A deep-reinforcement-learning-based strategy selection approach for fault-tolerant offloading of delay-sensitive tasks in vehicular edge-cloud computing,10.1007/s11227-025-07196-9,article,2025-04-08,2025,False,,ML,Edge,5,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2783819403,Dependency analysis of cloud applications for performance monitoring using recurrent neural networks,10.1109/bigdata.2017.8258087,article,2017-12-01,2017,False,,Analytics,GeneralCloud,22,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2782790131,Fault tolerance model based on service delivery quality levels in cloud computing,10.1109/mathit.2017.8259700,article,2017-12-01,2017,False,,Analytics,GeneralCloud,4,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W3114550872,Learning Spatiotemporal Failure Dependencies for Resilient Edge Computing Services,10.1109/tpds.2020.3046188,article,2020-12-22,2020,False,,ML,Edge,59,https://ieeexplore.ieee.org/ielx7/71/9357351/09303420.pdf
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2292760464,Modeling and predicting fault tolerance in Vehicular Cloud Computing,10.1109/coconet.2015.7411216,article,2015-12-01,2015,False,,Analytics,GeneralCloud,5,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4220932531,Analysis of Job Failure and Prediction Model for Cloud Computing Using Machine Learning,10.3390/s22052035,article,2022-03-05,2022,False,,ML,GeneralCloud,28,https://www.mdpi.com/1424-8220/22/5/2035/pdf?version=1646800175
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4205526162,Fault-Tolerant Load Balancing in Cloud Computing: A Systematic Literature Review,10.1109/access.2021.3139730,article,2021-12-30,2021,False,,Simulation,GeneralCloud,32,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4403192529,"Evolving Software Architectures from Monolithic Systems to Resilient Microservices: Best Practices, Challenges and Future Trends",10.14569/ijacsa.2024.0150901,article,2024-01-01,2024,False,,ML,K8s,11,https://thesai.org/Downloads/Volume15No9/Paper_1-Evolving_Software_Architectures_from_Monolithic_Systems.pdf
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4406416387,Enhancing Microservice Reliability in Cloud Environments Using Machine Learning for Anomaly Detection,10.1109/iccsc62048.2024.10830437,article,2024-10-24,2024,False,,ML,Unknown,17,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2979794002,A reliable architecture based on reactive microservices for IoT applications,10.1145/3323503.3345027,article,2019-10-10,2019,False,,Analytics,GeneralCloud,13,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4293582194,DSTS: A hybrid optimal and deep learning for dynamic scalable task scheduling on container cloud environment,10.1186/s13677-022-00304-7,article,2022-08-30,2022,False,,ML,GeneralCloud,32,https://journalofcloudcomputing.springeropen.com/counter/pdf/10.1186/s13677-022-00304-7
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4412473411,"AI-Based Threat Detection Systems for Cloud Infrastructure: Architecture, Challenges, and Opportunities",10.54660/.ijfmr.2021.2.2.61-67,article,2021-01-01,2021,False,,ML,GeneralCloud,25,https://www.multidisciplinaryfrontiers.com/uploads/archives/20250716163150_FMR-2025-2-007.1.pdf
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2968156427,A Survey on Controller Placement in SDN,10.1109/comst.2019.2935453,article,2019-08-15,2019,False,,Analytics,GeneralCloud,206,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2124767313,On fault resilience of OpenStack,10.1145/2523616.2523622,article,2013-10-01,2013,False,,Chaos,GeneralCloud,59,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2800426337,Cloud Centric Authentication for Wearable Healthcare Monitoring System,10.1109/tdsc.2018.2828306,article,2018-04-19,2018,False,,Analytics,GeneralCloud,278,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4388478979,KubeKlone: A Digital Twin for Simulating Edge and Cloud Microservices,10.1145/3542637.3542642,article,2022-07-01,2022,False,,ML,Unknown,9,https://dl.acm.org/doi/pdf/10.1145/3542637.3542642
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4309631091,Crane Cloud: A resilient multi-cloud service abstraction layer for resource-constrained settings,10.1016/j.deveng.2022.100102,article,2022-01-01,2022,False,,ML,K8s,10,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2116242761,Guaranteeing Fault-Tolerant Requirement Load Balancing Scheme Based on VM Migration,10.1093/comjnl/bxt012,article,2013-02-12,2013,False,,Simulation,GeneralCloud,18,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4360862338,Moving Microgrid Hierarchical Control to an SDN-Based Kubernetes Cluster: A Framework for Reliable and Flexible Energy Distribution,10.3390/s23073395,article,2023-03-23,2023,False,,Simulation,K8s,15,https://www.mdpi.com/1424-8220/23/7/3395/pdf?version=1679982278
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4313583327,Software Aging Effects on Kubernetes in Container Orchestration Systems for Digital Twin Cloud Infrastructures of Urban Air Mobility,10.3390/drones7010035,article,2023-01-03,2023,False,,Simulation,K8s,20,https://www.mdpi.com/2504-446X/7/1/35/pdf?version=1672737942
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4399739430,Empowering Sustainable Industrial and Service Systems through AI-Enhanced Cloud Resource Optimization,10.3390/su16125095,article,2024-06-14,2024,False,,Simulation,GeneralCloud,24,https://www.mdpi.com/2071-1050/16/12/5095/pdf?version=1718379217
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2766960947,Failure process characteristics of cloud-enabled services,10.1109/rndm.2017.8093033,article,2017-09-01,2017,False,,Analytics,GeneralCloud,10,https://ntnuopen.ntnu.no/ntnu-xmlui/bitstream/11250/2472863/1/main-1.pdf
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4225627407,Resource Orchestration of Cloud-Edge–based Smart Grid Fault Detection,10.1145/3529509,article,2022-04-04,2022,False,,ML,Edge,90,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2995371452,Security Chaos Engineering for Cloud Services: Work In Progress,10.1109/nca.2019.8935046,article,2019-09-01,2019,False,,Chaos,GeneralCloud,17,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2104105430,CloudVal: A framework for validation of virtualization environment in cloud infrastructure,10.1109/dsn.2011.5958218,article,2011-06-01,2011,False,,Chaos,GeneralCloud,49,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4387695363,Reliability-aware failure recovery for cloud computing based automatic train supervision systems in urban rail transit using deep reinforcement learning,10.1186/s13677-023-00502-x,article,2023-10-17,2023,False,,ML,GeneralCloud,14,https://journalofcloudcomputing.springeropen.com/counter/pdf/10.1186/s13677-023-00502-x
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2999609829,A short counterexample property for safety and liveness verification of fault-tolerant distributed algorithms,10.1145/3093333.3009860,article,2017-01-01,2017,False,,Formal,GeneralCloud,21,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2952435244,Finishing flows quickly with preemptive scheduling,10.1145/2377677.2377710,article,2012-08-13,2012,False,,Simulation,GeneralCloud,178,
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W2613388318,Arsitektur Microservice untuk Resiliensi Sistem Informasi,10.24089/j.sisfo.2017.01.006,article,2017-01-01,2017,False,,Analytics,Unknown,15,http://is.its.ac.id/pubs/oajis/index.php/file/download_file/1701
OpenAlex Core Stream,core,archival,True,,,,https://openalex.org/W4403391196,Boosting Microservice Resilience: An Evaluation of Istio’s Impact on Kubernetes Clusters Under Chaos,10.1109/fmec62297.2024.10710237,article,2024-09-02,2024,False,,Chaos,K8s,7,
